transaction_id,user_id,card_number,amount,timestamp,merchant_id,location,is_fraud
8f00e619-31d6-4581-9e1e-d72346e96c97,dfca368d-5b1c-4b80-8567-1ced810cc8e2,4779642239094276253,66.2,2025-06-14 19:23:43.631732+00:00,eb2feff7-1cf8-47d4-914a-b2cd341295c8,Phillipsview,0
ebb5fbdf-a67c-44cf-841d-a3b05e25ac6d,6452d61c-4ab8-4538-803f-ebea6a1ee261,4550212199116088497,102.26,2025-06-14 19:25:25.631732+00:00,b3e4f4ff-3185-4ca7-8cee-40aaece9006e,Bradleymouth,0
542279c4-25a0-4b48-84de-3a7dc22e8439,86f67912-f123-4a69-96a7-29c2e96edac3,3560460075663528,143.68,2025-06-14 19:26:33.631732+00:00,84b7351c-c0fe-4778-95ac-a45631b2d901,West Nicholasmouth,0
41eb2d4c-b1af-48ce-a97a-db22a6968c6f,d5235659-9f79-4dd5-ae9c-46005f752176,30351958617236,22.88,2025-06-14 19:28:32.631732+00:00,5f5b0873-de59-4155-9d5e-b91854163f01,North Stevenfurt,0
80973d24-23d6-4da9-b393-4eec0c14a3f7,6a66212d-9d5f-4d9c-b888-cbe02f8086db,180071833477717,145.57,2025-06-14 19:32:01.631732+00:00,385895dd-b4a6-4ab2-bd2b-660b0eaef89c,Hendersonland,0
ac10298b-14d8-4098-9a60-686e3885bf1c,20a4381a-9f99-499b-b3e0-ffd3c0c66437,2291578291766672,107.38,2025-06-14 19:41:01.631732+00:00,e652161f-356d-4f83-b93b-eb900a2db177,East Christopherview,0
78390a10-9937-4707-a315-ed3ccfd26fc0,18323fcc-8853-4496-940a-a4071cc05ae6,639081733821,141.45,2025-06-14 19:45:49.631732+00:00,65327f5e-57cf-40be-a928-55a42f40dc18,East Ashleyborough,0
533b8088-a626-4288-bb8b-f52b71a7cf40,6f3c8de9-7e9c-4028-9106-79ef1d0e8a21,562139310865,14.46,2025-06-14 19:47:18.631732+00:00,75985b82-2bd2-4e07-ba58-b143bf08e380,West Nicholasmouth,0
80a238bd-beaa-4a26-9f2e-3e69d5b627b3,41f95a2c-0b5f-4a5e-b4f5-ce7a1a9e74bf,374588209299827,32.12,2025-06-14 19:53:22.631732+00:00,ba3456ab-a099-4658-a7f9-262df6c392c5,South Adriennefurt,0
e74aae1f-4f45-452d-adf0-97ed67c027d3,f2d9d3d6-ad1c-4623-a999-32f81588dc3e,4474515755658196415,107.5,2025-06-14 19:57:23.631732+00:00,1f54f9ec-6ccf-44a4-96ad-749ed6df5a6a,Stevensfurt,0
